"#";"RefDes";"Value";"Quantity"
"1";"C1";"220nF";"1"
"2";"C2, C3, C4, C7, C8, C9, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21";"47nF";"16"
"3";"C5, C6";"100nF";"2"
"4";"C10, C11";"22pF";"2"
"5";"C22, C23";"12pF";"2"
"6";"C24";"220uF*25v";"1"
"7";"C25, C26";"470uF*10v";"2"
"8";"C27";"15uF*10v";"1"
"9";"C28, C29, C30";"5pF";"3"
"10";"D1, D4";"1N5819";"2"
"11";"D2";"LED0805_GREEN";"1"
"12";"D3";"LED0805_RED";"1"
"13";"D5, D6, D7";"BAT54";"3"
"14";"J1";"PLD2-30";"1"
"15";"J2";"BLS-03";"1"
"16";"J3";"BLS-06";"1"
"17";"J4";"BLS-03";"1"
"18";"J5";"BLS-02";"1"
"19";"J6";"BLS-06";"1"
"20";"J7";"BLS-04";"1"
"21";"J8";"BLS-09";"1"
"22";"L1";"CD74-20uH";"1"
"23";"L2";"CD104-100uH";"1"
"24";"Q1";"FDS9435A";"1"
"25";"Q2, Q3";"MMBT3904LT1G";"2"
"26";"R1";"330";"1"
"27";"R2, R3, R31";"1K";"3"
"28";"R4, R5, R6, R9, R11, R12, R13, R14, R15, R16, R17, R19, R21, R53";"4K7";"14"
"29";"R7, R8, R18, R20, R23, R24, R25, R27";"33";"8"
"30";"R10";"1";"1"
"31";"R22, R32, R33, R34, R35, R36, R38, R39, R40";"100";"9"
"32";"R26";"100K";"1"
"33";"R28, R37";"20K";"2"
"34";"R29";"10K";"1"
"35";"R30";"1M";"1"
"36";"R41, R42, R45";"300";"3"
"37";"R43, R44";"2K";"2"
"38";"R46";"12K";"1"
"39";"R47, R48, R49";"150";"3"
"40";"R50, R51, R52";"75";"3"
"41";"U1";"PT4103E";"1"
"42";"U2";"RTD2660";"1"
"43";"U3";"AT25040";"1"
"44";"U4";"LM2576-ADJ";"1"
"45";"U5";"AMS1117-1,8";"1"
"46";"Y1";"HC49S-27MHz";"1"
